"Id";"ProductId";"UserId";"ProfileName";"HelpfulnessNumerator";"HelpfulnessDenominator";"Score";"Time";"Summary";"Text";"initial_identifier";"asin";"title";"brand";"item_type_keyword";"listing_url";"medium_image";"product_type_name"
3178;"B000FDKUSO";"A23OE0ZSYIP8YO";"Traumababe";3;3;5;1318982400;"Excellent and healthy";"I am not sure why the 2 speciality stores in my area stopped carrying these as they were usually sold out. The cakes are 18 calories, crunchy and good--not like the cardboard taste of thicker rice cakes. Excellent as a base for PB&J, or to make an open face sandwich, or to use in pieces like a chip for dips, etc. Good price on the 12 pack with a 10 month expiration use date.";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3179;"B000FDKUSO";"A3D1LQCUWN12LD";"Literally Literate ""Jc""""""";3;3;5;1318896000;"Great Little Rice ""Patties""""""";"These stay together better than round ones, which crumble terribly. They are good alone, or with my favorite Artisana Raw Sesame Butter. They are very well packaged which keeps them from getting broken. Also, each package I have opened has been fresh. Thanks for a great product Amazon!";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3180;"B000FDKUSO";"A265982182JKPH";"Olivia";3;3;5;1312070400;"Great For Sandwiches";"I love this product! So much better than the regular thick rice cakes. They are thin, but very compact, so I use them as a great sandwich bread alternative. They don't break apart quick as easily as the regular rice cakes. I've searched the grocery and health food stores in my area and can't find this product anywhere. I love that they are now available for Subscription through Amazon.com.";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3181;"B000FDKUSO";"A2THGZLAWFPY2P";"Jane Holcomb";2;2;5;1347840000;"The best rice cake ever!";"These brown rice cakes are by far the best, I have tried many. I can not have very many foods. These are my only snack food that I can have. They are so good I dont feel like I am missing anything.";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3182;"B000FDKUSO";"A3MV9QVHFJTR4T";"Caroline Tucker";2;2;5;1345680000;"Words fail me to describe how much I love these";"I waited long and with bated breath for Amazon to restock the bulk packaging for this product, as European-style rice cakes are a pretty specific niche, and they can be a bit difficult to find at local stores (not to mention expensive). These are a very different beast from the American-style rice cakes that most people associate with the name--as other reviews suggest, these aren't quite so air-filled or crumbly, having more the density and thickness of a cracker or crisp flatbread. But unlike those, these are gluten-free, oil-free, unsalted, and contain only one ingredient: 100% puffed brown rice. They've got a nice light crunch that makes them good for snacking, but they're a lot healthier than chips or crackers, and the brown rice is definitely preferable to a more processed white rice cake if you're mindful of blood sugar impact. They're also great for the occasional mild tummy upset, since they're light and bland and don't require the preparation of other bland foods.<br /><br />Try them with hummus! My personal favorite: peanut butter, jam, and a sprinkling of chia seeds. Yum!";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3183;"B000FDKUSO";"A1VEA16QFOG5VR";"happyhart ""S. H.""""""";2;2;5;1342137600;"Best gluten-free substitute for bread ! ! ! And worth every penny!";"I am so happy that Amazon got these back in so I could order my second case. I don't eat wheat, it packs the pounds on me around my middle. Most breads have wheat or if they are gluten free, they cost way too much.<br /><br />I have eaten all kinds of rice cakes. I have found that most will break apart if you're spreading a nut butter on them. Not these! Also there are generally 13 rice cakes in a pkg of round regular rice cakes... this package of rice cakes has 27 pieces in each bag. Also, it's much like consuming a slice of bread without the crusts and they are nice and thin so you don't eat too much of a good thing.<br /><br />Try these if you're dissatisfied with regular rice cakes or if you must have gluten free bread!! I don't believe you will be sorry and Amazon's price is so good and FREE shipping... though the box is sort of big, it's pretty light and stores easily away. I live alone and I'm on my next to last pkg from my first case and they are not at all stale. I stored them in my cool dark garage in their original cardboard box.<br /><br />Also they are made in Belgium if that helps anyone. The packaging is air tight and they come 12 pkgs in a box and are in the perfect sized box, and mine arrived without a sign of any damage and I have yet to find even a single cracked rice cake! They are rather neutral in their taste... I make a special butter spread that I like on them real well. You take equal parts of room temperature butter, olive oil and water and blend ingredients until smooth. You can refrigerate this, it sets up but doesn't get hard so it is always spreadable and tastes really good! I use organic butter, olive oil and filtered water, but you don't have. This spread is so good and I believe it's better for you than straight butter.<br /><br />Also, I only use one cake to make a single sided sandwich, as with any rice cake using two as you would two pieces of bread just doesn't seem to work as well. But a single sided sandwhich with these rice cakes is very enjoyable!<br /><br />Hope this helps you decide to try them. Everyone I've given some to, have had only good comments about them.";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3184;"B000FDKUSO";"A3NH7K9F0UKVOH";"Darlene";2;2;5;1324684800;"Surprisingly Tasty";"Surprisingly tasty. Thin and crip. Very Cracker like and good for snacking. I got these for my husband who is on a very low sodium diet. These are great for when we travel.  It isn't easy finding prepackaged low sodium foods that taste good, but these work quite well.";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3185;"B000FDKUSO";"A35T8A43KFWD00";"Rye B. ""JOKI""""""";2;2;5;1287187200;"Great light cracker substitute";"Crisp/crunchy and thin- very low in sodium. I usually prefer mine plain but shared a package with a friend who enjoyed these with a tuna salad topping. A great alternative to the expensive styrofoam varieties sold at most stores. Excellent product. The rice cakes for this brand are also wonderful and for those on a no salt diet, 0% sodium.";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3186;"B000FDKUSO";"A2GK1IHV52CS17";"Dogfan36";1;1;5;1349049600;"The perfect delivery system!";"These crackers are great--the beauty is not in their own flavor, but the fact that they are a perfect, crispy, low calorie, gluten-free delivery mechanism for all manner of spreads and slices.  They don't come with over-powering artificial flavorings to compete with a topping of your choice.  Some of my favorites are...peanut butter and banana or laughing cow cheese with turkey pepperoni.";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3188;"B000FDKUSO";"ADKCZ302V4KEW";"Jean";0;0;1;1349222400;"Too Much Inorganic Arsenic";"Consumer Reports rated these crackers the highest in inorganic arsenic of all the rice crackers on the market. I like these crackers, but will no longer eat them until the arsenic issue in brown rice is resolved.";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
3189;"B000FDKUSO";"AI066ESWAN83K";"podushka";0;0;5;1346025600;"Best value";"These are not only a good value (health food stores really jack up the prices on rice cakes!) but also are nicely thin and easy to use to spread stuff on.";"B000FDKUSO";"B000FDKUSO";"Suzie's Puffed Brown Rice Unsalted Thin Cakes Case of 12 packages 4.6 oz. Each";"Suzie's";"snack-puffs";"http://www.amazon.com/dp/B000FDKUSO";"https://m.media-amazon.com/images/I/51rEpcNgtKL._SL160_.jpg";"GROCERY"
